age,MI_smoothed,df,spline_max
0,-0.033478393,30,95
1,-0.033494569,30,95
2,-0.032543256,30,95
3,-0.031057942,30,95
4,-0.029722328,30,95
5,-0.028852695,30,95
6,-0.02851848,30,95
7,-0.028691592,30,95
8,-0.029151072,30,95
9,-0.029747409,30,95
10,-0.030324698,30,95
11,-0.030573798,30,95
12,-0.030157945,30,95
13,-0.028927604,30,95
14,-0.027321865,30,95
15,-0.025934094,30,95
16,-0.02525334,30,95
17,-0.025204492,30,95
18,-0.025553231,30,95
19,-0.026002368,30,95
20,-0.026307629,30,95
21,-0.026487255,30,95
22,-0.026579992,30,95
23,-0.026608231,30,95
24,-0.026574053,30,95
25,-0.026463057,30,95
26,-0.026267031,30,95
27,-0.026007299,30,95
28,-0.02568493,30,95
29,-0.025298144,30,95
30,-0.024863245,30,95
31,-0.024397344,30,95
32,-0.023905561,30,95
33,-0.02340071,30,95
34,-0.022899361,30,95
35,-0.022419258,30,95
36,-0.021969286,30,95
37,-0.021549748,30,95
38,-0.021136367,30,95
39,-0.020696957,30,95
40,-0.020201467,30,95
41,-0.019654882,30,95
42,-0.019074496,30,95
43,-0.01848818,30,95
44,-0.017919466,30,95
45,-0.017386925,30,95
46,-0.016896414,30,95
47,-0.016449426,30,95
48,-0.016047264,30,95
49,-0.015691745,30,95
50,-0.015387595,30,95
51,-0.015148376,30,95
52,-0.014981272,30,95
53,-0.014886925,30,95
54,-0.014847159,30,95
55,-0.014832329,30,95
56,-0.014816317,30,95
57,-0.01479435,30,95
58,-0.014767294,30,95
59,-0.01473651,30,95
60,-0.014700758,30,95
61,-0.01465968,30,95
62,-0.014619731,30,95
63,-0.01459052,30,95
64,-0.014578058,30,95
65,-0.014566985,30,95
66,-0.014516176,30,95
67,-0.014388766,30,95
68,-0.014186717,30,95
69,-0.013927146,30,95
70,-0.01364601,30,95
71,-0.013372944,30,95
72,-0.013133202,30,95
73,-0.012939157,30,95
74,-0.012773286,30,95
75,-0.012608494,30,95
76,-0.01240786,30,95
77,-0.012138779,30,95
78,-0.011797281,30,95
79,-0.011392267,30,95
80,-0.010935073,30,95
81,-0.010439638,30,95
82,-0.009916548,30,95
83,-0.009374496,30,95
84,-0.008819131,30,95
85,-0.008256371,30,95
86,-0.007691379,30,95
87,-0.007125193,30,95
88,-0.006558559,30,95
89,-0.005996254,30,95
90,-0.00544814,30,95
91,-0.004927798,30,95
92,-0.004455296,30,95
93,-0.004037189,30,95
94,-0.00367073,30,95
95,-0.003332117,30,95
96,-0.00299774,30,95
97,-0.002663363,30,95
98,-0.002328986,30,95
99,-0.001994608,30,95
100,-0.001660231,30,95
101,-0.001325854,30,95
102,-0.000991477,30,95
103,-0.000657099,30,95
104,-0.000322722,30,95
105,1.17E-05,30,95
