age,MI_smoothed,df,spline_max
0,-0.034620183,20,100
1,-0.035258565,20,100
2,-0.035676321,20,100
3,-0.035700334,20,100
4,-0.035224311,20,100
5,-0.034317543,20,100
6,-0.033085761,20,100
7,-0.031634326,20,100
8,-0.030075073,20,100
9,-0.028510585,20,100
10,-0.027030835,20,100
11,-0.025838414,20,100
12,-0.02519139,20,100
13,-0.02533832,20,100
14,-0.026120653,20,100
15,-0.02725977,20,100
16,-0.028428467,20,100
17,-0.02938171,20,100
18,-0.030204476,20,100
19,-0.030887051,20,100
20,-0.031347685,20,100
21,-0.031440385,20,100
22,-0.031133927,20,100
23,-0.030448318,20,100
24,-0.029468923,20,100
25,-0.028292321,20,100
26,-0.026989386,20,100
27,-0.025605017,20,100
28,-0.024174638,20,100
29,-0.022716635,20,100
30,-0.021245026,20,100
31,-0.019773997,20,100
32,-0.018320009,20,100
33,-0.016900583,20,100
34,-0.015535353,20,100
35,-0.014245511,20,100
36,-0.013052145,20,100
37,-0.011974835,20,100
38,-0.01103262,20,100
39,-0.010243992,20,100
40,-0.009627708,20,100
41,-0.009202527,20,100
42,-0.008985841,20,100
43,-0.008991094,20,100
44,-0.009228182,20,100
45,-0.009696661,20,100
46,-0.010392104,20,100
47,-0.011299105,20,100
48,-0.012379308,20,100
49,-0.013583874,20,100
50,-0.014843593,20,100
51,-0.016089489,20,100
52,-0.017280381,20,100
53,-0.018406293,20,100
54,-0.019468422,20,100
55,-0.020486438,20,100
56,-0.021483369,20,100
57,-0.022479444,20,100
58,-0.023485058,20,100
59,-0.024505315,20,100
60,-0.025530946,20,100
61,-0.026537634,20,100
62,-0.027495002,20,100
63,-0.028361525,20,100
64,-0.029096198,20,100
65,-0.029663573,20,100
66,-0.030046897,20,100
67,-0.030238751,20,100
68,-0.030252692,20,100
69,-0.030116345,20,100
70,-0.029861234,20,100
71,-0.029522687,20,100
72,-0.029128008,20,100
73,-0.028696746,20,100
74,-0.028227001,20,100
75,-0.027707766,20,100
76,-0.027113337,20,100
77,-0.026415392,20,100
78,-0.025588677,20,100
79,-0.024619071,20,100
80,-0.023497407,20,100
81,-0.022225911,20,100
82,-0.020819793,20,100
83,-0.019299676,20,100
84,-0.017698441,20,100
85,-0.016057332,20,100
86,-0.01442035,20,100
87,-0.01283689,20,100
88,-0.011358302,20,100
89,-0.010033232,20,100
90,-0.008890381,20,100
91,-0.007942496,20,100
92,-0.00715581,20,100
93,-0.006472797,20,100
94,-0.005834212,20,100
95,-0.005186849,20,100
96,-0.00448051,20,100
97,-0.003679865,20,100
98,-0.002786566,20,100
99,-0.001816606,20,100
100,-0.000807853,20,100
101,0.000205852,20,100
102,0.001219557,20,100
103,0.002233262,20,100
104,0.003246967,20,100
105,0.004260672,20,100
